tailid,parentid,orgstructid,name_nb,name_nn,name_en,orgid,kommunenummer
26014,,59,Hedmark fylkeskommune,Hedmark fylkeskommune,Hedmark County Administration,942116217,0400
39022,42202,281,Sunndal forliksråd,Sunndal forliksråd,Surnadal Conciliation Board,,
43425,32251,39,BUPA poliklinikk Søndre Vestfold (Larvik),BUPA poliklinikk Søndre Vestfold,Mental health clinic for children and adolescents Søndre Vestfold,,
27822,26888,42,Konkursrådet,Konkursrådet,Norwegian Advisory Council on Bankruptcy,,
35224,26056,36,NAV EURES Rogaland,NAV EURES Rogaland,European Employment Services (EURES) in Rogaland,,
43426,32251,39,BUPA poliklinikk Nordre Vestfold,BUPA poliklinikk Nordre Vestfold,"Mental health clinic for children and adolescents, Nordre Vestfold",,
27885,,81,Gjeldsoffer-Alliansen - Gjeldskrisetelefonen,Gjeldsoffer-Alliansen - Gjeldskrisetelefonen,Gjeldsoffer-Alliansen - Gjeldskrisetelefonen,971276258,
27886,,81,NOAS - Norsk organisasjon for asylsøkere,NOAS - Norsk organisasjon for asylsøkere,Norwegian Organisation for Asylum Seekers ,975265773,
27887,,81,Organisasjonen mot offentlig diskriminering ,Organisasjonen mot offentlig diskriminering ,Institution against Public Discrimination,971276576,
27888,,82,Jussformidlingen i Bergen,Jussformidlingen i Bergen,Jussformidlingen i Bergen,,
27889,,82,Jusshjelpa i Nord-Norge,Jusshjelpa i Nord-Norge,Jusshjelpa i Nord-Norge,989974645,
27901,32246,39,Olafiaklinikken,Olafiaklinikken,Olafiaklinikken,,
43427,32263,39,BUP Gran,BUP Gran,Mental health clinic for children and adolescents Gran,,
43428,32263,39,Barne- og ungdomspsykiatrisk poliklinikk Gjøvik,Barne- og ungdomspsykiatrisk poliklinikk Gjøvik,Mental health clinic for children and adolescents Gjøvik,,
35243,24248,37,NAV på Svalbard,NAV på Svalbard,NAV Svalbard,,
43429,32263,39,BUP Lillehammer,BUP  Lillehammer,Mental health clinic for children and adolescents Lillehammer,,
27096,,81,Grønn Hverdag,Grønn Hverdag,Grønn Hverdag,970941959,
