partinamn;fylkesnr;kommunenr;partitype;valar;stemmer;relativdel;mandat;utbetalingsar;grunnstonad;stemmestotte;totalt
Randaberg Høyre;11;1127;Kommune;2007;770;16,93;4;2011;1223;9863,7;11086,7
Randaberg KrF;11;1127;Kommune;2007;743;16,34;4;2011;1223;9517,83;10740,83
Randaberg Senterparti;11;1127;Kommune;2007;349;7,68;2;2011;1223;4470,69;5693,69
Randaberg Sv;11;1127;Kommune;2007;118;2,6;0;2011;0;1511,58;1511,58
RANDABERG VENSTRE;11;1127;Kommune;2007;208;4,57;1;2011;1223;2664,48;3887,48
Forsand  Arbeidarparti;11;1129;Kommune;2007;72;13,46;2;2011;1223;922,32;2145,32
Forsand Framstegsparti;11;1129;Kommune;2007;47;8,79;2;2011;1223;602,07;1825,07
Forsand Høgre;11;1129;Kommune;2007;133;24,86;4;2011;1223;1703,73;2926,73
Forsand KrF;11;1129;Kommune;2007;144;26,92;5;2011;1223;1844,64;3067,64
Forsand Senterparti;11;1129;Kommune;2007;139;25,98;4;2011;1223;1780,59;3003,59
Strand  Arbeidarparti;11;1130;Kommune;2007;1068;22,98;7;2011;1223;13681,08;14904,08
Strand Framstegsparti;11;1130;Kommune;2007;867;18,65;5;2011;1223;11106,27;12329,27
Strand Høgre;11;1130;Kommune;2007;671;14,44;4;2011;1223;8595,51;9818,51
Strand KrF;11;1130;Kommune;2007;1043;22,44;7;2011;1223;13360,83;14583,83
Strand Senterparti;11;1130;Kommune;2007;521;11,21;3;2011;1223;6674,01;7897,01
Strand Sv;11;1130;Kommune;2007;245;5,27;2;2011;1223;3138,45;4361,45
STRAND VENSTRE;11;1130;Kommune;2007;233;5,01;1;2011;1223;2984,73;4207,73
Hjelmeland  Arbeidarparti;11;1133;Kommune;2007;243;17,72;3;2011;1223;3112,83;4335,83
Hjelmeland Framstegsparti;11;1133;Kommune;2007;106;7,73;1;2011;1223;1357,86;2580,86
Hjelmeland Høgre;11;1133;Kommune;2007;177;12,91;2;2011;1223;2267,37;3490,37
Hjelmeland KrF;11;1133;Kommune;2007;259;18,89;4;2011;1223;3317,79;4540,79
Hjelmeland Senterparti;11;1133;Kommune;2007;480;35,01;7;2011;1223;6148,8;7371,8
Hjelmeland Sv;11;1133;Kommune;2007;49;3,57;1;2011;1223;627,69;1850,69
HJELMELAND VENSTRE;11;1133;Kommune;2007;57;4,16;1;2011;1223;730,17;1953,17
Framstegspartiet;11;1134;Kommune;2007;124;6,22;2;2011;1223;1588,44;2811,44
Suldal  Sv;11;1134;Kommune;2007;278;13,95;3;2011;1223;3561,18;4784,18
Suldal Arbeidarparti;11;1134;Kommune;2007;397;19,92;5;2011;1223;5085,57;6308,57
Suldal Høgre;11;1134;Kommune;2007;101;5,07;1;2011;1223;1293,81;2516,81
Suldal KrF;11;1134;Kommune;2007;310;15,55;4;2011;1223;3971,1;5194,1
Suldal Senterparti;11;1134;Kommune;2007;695;34,87;9;2011;1223;8902,95;10125,95
SULDAL VENSTRE;11;1134;Kommune;2007;88;4,42;1;2011;1223;1127,28;2350,28
Sauda  Arbeidarparti;11;1135;Kommune;2007;1304;51,81;10;2011;1223;16704,24;17927,24
Sauda Framstegsparti;11;1135;Kommune;2007;252;10,01;3;2011;1223;3228,12;4451,12
Sauda Høgre;11;1135;Kommune;2007;414;16,45;3;2011;1223;5303,34;6526,34
Sauda KrF;11;1135;Kommune;2007;161;6,4;1;2011;1223;2062,41;3285,41
Sauda Senterparti;11;1135;Kommune;2007;159;6,32;1;2011;1223;2036,79;3259,79
Sauda Sv;11;1135;Kommune;2007;125;4,97;1;2011;1223;1601,25;2824,25
SAUDA VENSTRE;11;1135;Kommune;2007;102;4,05;0;2011;1223;1306,62;2529,62
Finnøy  Arbeidarparti;11;1141;Kommune;2007;96;6,63;1;2011;1223;1229,76;2452,76
Finnøy Framstegsparti;11;1141;Kommune;2007;120;8,28;2;2011;1223;1537,2;2760,2
Finnøy Høgre;11;1141;Kommune;2007;234;16,15;3;2011;1223;2997,54;4220,54
Finnøy KrF;11;1141;Kommune;2007;436;30,09;7;2011;1223;5585,16;6808,16
Finnøy Senterparti;11;1141;Kommune;2007;396;27,33;6;2011;1223;5072,76;6295,76
Finnøy Sv;11;1141;Kommune;2007;96;6,63;1;2011;1223;1229,76;2452,76
FINNØY VENSTRE;11;1141;Kommune;2007;71;4,9;1;2011;1223;909,51;2132,51
Rennesøy  Arbeidarparti;11;1142;Kommune;2007;229;12,26;3;2011;1223;2933,49;4156,49
Rennesøy Fremskrittsparti;11;1142;Kommune;2007;450;24,09;5;2011;1223;5764,5;6987,5
Rennesøy Høgre;11;1142;Kommune;2007;433;23,18;5;2011;1223;5546,73;6769,73
Rennesøy KrF;11;1142;Kommune;2007;288;15,42;3;2011;1223;3689,28;4912,28
Rennesøy Senterparti;11;1142;Kommune;2007;305;16,33;3;2011;1223;3907,05;5130,05
Bokn  Arbeidarparti;11;1145;Kommune;2007;138;33,41;6;2011;1223;1767,78;2990,78
Bokn  Senterparti;11;1145;Kommune;2007;145;35,11;4;2011;1223;1857,45;3080,45
Bokn Høgre;11;1145;Kommune;2007;108;26,15;4;2011;1223;1383,48;2606,48
Bokn KrF;11;1145;Kommune;2007;22;5,33;1;2011;1223;281,82;1504,82
Tysvær  Arbeidarparti;11;1146;Kommune;2007;797;19,21;6;2011;1223;10209,57;11432,57
Tysvær Framstegsparti;11;1146;Kommune;2007;987;23,79;7;2011;1223;12643,47;13866,47
Tysvær Høgre;11;1146;Kommune;2007;827;19,93;6;2011;1223;10593,87;11816,87
Tysvær KrF;11;1146;Kommune;2007;583;14,05;4;2011;1223;7468,23;8691,23
Tysvær Senterparti;11;1146;Kommune;2007;609;14,68;4;2011;1223;7801,29;9024,29
Tysvær Sv;11;1146;Kommune;2007;180;4,34;1;2011;1223;2305,8;3528,8
TYSVÆR VENSTRE;11;1146;Kommune;2007;166;4;1;2011;1223;2126,46;3349,46
Karmøy  Arbeidarparti;11;1149;Kommune;2007;3554;20,8;10;2011;1223;45526,74;46749,74
Karmøy Framstegsparti;11;1149;Kommune;2007;6136;35,91;16;2011;1223;78602,16;79825,16
Karmøy Høgre;11;1149;Kommune;2007;1866;10,92;5;2011;1223;23903,46;25126,46
Karmøy KrF;11;1149;Kommune;2007;3564;20,86;10;2011;1223;45654,84;46877,84
Karmøy Senterparti;11;1149;Kommune;2007;509;2,98;1;2011;1223;6520,29;7743,29
Karmøy Sv;11;1149;Kommune;2007;519;3,04;1;2011;1223;6648,39;7871,39
KARMØY VENSTRE;11;1149;Kommune;2007;587;3,44;2;2011;1223;7519,47;8742,47
Utsira Fellesliste;11;1151;Kommune;2007;70;54,26;6;2011;1223;896,7;2119,7
Vindafjord Arbeidarparti;11;1160;Kommune;2007;642;18,33;5;2011;1223;8224,02;9447,02
Vindafjord Fremskrittsparti;11;1160;Kommune;2007;464;13,25;3;2011;1223;5943,84;7166,84
Vindafjord Høgre;11;1160;Kommune;2007;623;17,79;4;2011;1223;7980,63;9203,63
Vindafjord KrF;11;1160;Kommune;2007;376;10,74;3;2011;1223;4816,56;6039,56
Vindafjord Senterparti;11;1160;Kommune;2007;1268;36,21;9;2011;1223;16243,08;17466,08
Grønn Ungdom Hordland;12;NULL;FylkesUngdom;2007;0;0;0;2011;0;13794,96;13794,96
Bergen Kommunistiske Ungdomsforbund;12;1200;FylkesUngdom;2007;0;0;0;2011;0;2528,16;2528,16
Demokratene i Hordaland;12;1200;Fylke;2007;1117;0,54;0;2011;0;32404,17;32404,17
Hordaland Arbeiderparti;12;1200;Fylke;2007;50844;24,53;14;2011;44708;1474984,44;1519692,44
Hordaland AUF;12;1200;FylkesUngdom;2007;0;0;0;2011;0;465731,04;465731,04
Hordaland Fremskrittpartis Ungdom;12;1200;FylkesUngdom;2007;0;0;0;2011;0;437390;437390
Hordaland Fremskrittsparti;12;1200;Fylke;2007;47750;23,04;14;2011;44708;1385227,5;1429935,5
Hordaland Høyre;12;1200;Fylke;2007;40568;19,57;11;2011;44708;1176877,68;1221585,68
Hordaland Kristelig Folkeparti;12;1200;Fylke;2007;17825;8,6;5;2011;44708;517103,25;561811,25
Hordaland Kristelig Folkepartis Ungdom;12;1200;FylkesUngdom;2007;0;0;0;2011;0;163277;163277
Hordaland Kristent Samlingsparti;12;1200;Fylke;2007;569;0,27;0;2011;0;16506,69;16506,69
Hordaland Rød Ungdom;12;1200;FylkesUngdom;2007;0;0;0;2011;0;51928,04;51928,04
Hordaland Rød Valgallianse;12;1200;Fylke;2007;5669;2,73;2;2011;44708;164457,69;209165,69
Hordaland Senterparti;12;1200;Fylke;2007;14263;6,88;4;2011;44708;413769,63;458477,63
Hordaland Senterungdom;12;1200;FylkesUngdom;2007;0;0;0;2011;0;130649,08;130649,08
Hordaland SU;12;1200;FylkesUngdom;2007;0;0;0;2011;0;115800,72;115800,72
Hordaland Sv;12;1200;Fylke;2007;12642;6,1;4;2011;44708;366744,42;411452,42
Hordaland Unge Høyre;12;1200;FylkesUngdom;2007;0;0;0;2011;0;371602,88;371602,88
HORDALAND UNGE VENSTRE;12;1200;FylkesUngdom;2007;0;0;0;2011;0;108912,4;108912,4
HORDALAND VENSTRE;12;1200;Fylke;2007;11890;5,74;3;2011;44708;344928,9;389636,9
Kystpartiet i Hordaland;12;1200;Fylke;2007;659;0,32;0;2011;0;19117,59;19117,59
Kystpartiets Ungdom i Hordaland;12;1200;FylkesUngdom;2007;0;0;0;2011;0;6036,44;6036,44
Miljøpartiet Dei Grøne;12;1200;Fylke;2007;1506;0,73;0;2011;0;43689,06;43689,06
Norges Kommunistiske parti i Hordaland;12;1200;Fylke;2007;276;0,13;0;2011;0;8006,76;8006,76
Pensjonistpartiet i Hordaland;12;1200;Fylke;2007;1699;0,82;0;2011;0;49287,99;49287,99
Arbeiderpartiet i Bergen;12;1201;Kommune;2007;28126;23,91;16;2011;1223;360294,06;361517,06
Bergen Fremskrittsparti;12;1201;Kommune;2007;23819;20,25;14;2011;1223;305121,39;306344,39
Bergen Høyre;12;1201;Kommune;2007;30929;26,29;18;2011;1223;396200,49;397423,49
Bergen KrFs hovedstyre;12;1201;Kommune;2007;7384;6,28;4;2011;1223;94589,04;95812,04
Bergen Pensjonistparti;12;1201;Kommune;2007;1437;1,22;1;2011;1223;18407,97;19630,97
Bergen Rød Valgallianse;12;1201;Kommune;2007;5237;4,45;3;2011;1223;67085,97;68308,97
Bergen Senterparti;12;1201;Kommune;2007;3284;2,79;2;2011;1223;42068,04;43291,04
Bergen Sv;12;1201;Kommune;2007;8330;7,08;5;2011;1223;106707,3;107930,3
BERGEN VENSTRE;12;1201;Kommune;2007;6766;5,75;4;2011;1223;86672,46;87895,46
Bergens Arbeiderparti Av N.K.P.;12;1201;Kommune;2007;126;0,11;0;2011;0;1614,06;1614,06
Demokratene Bergen;12;1201;Kommune;2007;491;0,42;0;2011;0;6289,71;6289,71
Kristent Samlingsparti;12;1201;Kommune;2007;135;0,11;0;2011;0;1729,35;1729,35
Kystpartiet i Bergen;12;1201;Kommune;2007;142;0,12;0;2011;0;1819,02;1819,02
Miljøpartiet De Grønne i Bergen;12;1201;Kommune;2007;884;0,75;0;2011;0;11324,04;11324,04
Etne  Arbeidarparti;12;1211;Kommune;2007;535;28,28;6;2011;1223;6853,35;8076,35
Etne Framstegsparti;12;1211;Kommune;2007;288;15,22;3;2011;1223;3689,28;4912,28
Etne Høgre;12;1211;Kommune;2007;277;14,64;3;2011;1223;3548,37;4771,37
Etne KrF;12;1211;Kommune;2007;204;10,78;2;2011;1223;2613,24;3836,24
Etne Senterparti;12;1211;Kommune;2007;522;27,59;6;2011;1223;6686,82;7909,82
ETNE VENSTRE;12;1211;Kommune;2007;66;3,49;1;2011;1223;845,46;2068,46
Kystpartiet i Sveio;12;1216;Kommune;2007;72;3,13;1;2011;1223;922,32;2145,32
Miljøpartiet Dei Grøne;12;1216;Kommune;2007;44;1,91;0;2011;0;563,64;563,64
Sveio  Arbeidarparti;12;1216;Kommune;2007;690;29,96;8;2011;1223;8838,9;10061,9
Sveio Framstegsparti;12;1216;Kommune;2007;470;20,41;5;2011;1223;6020,7;7243,7
Sveio Høgre;12;1216;Kommune;2007;217;9,42;2;2011;1223;2779,77;4002,77
Sveio KrF;12;1216;Kommune;2007;322;13,98;4;2011;1223;4124,82;5347,82
Sveio Senterparti;12;1216;Kommune;2007;261;11,33;3;2011;1223;3343,41;4566,41
SVEIO VENSTRE;12;1216;Kommune;2007;79;3,43;1;2011;1223;1011,99;2234,99
Bømlo  Arbeidarparti;12;1219;Kommune;2007;678;13,22;4;2011;1223;8685,18;9908,18
Bømlo Framstegsparti;12;1219;Kommune;2007;1148;22,38;6;2011;1223;14705,88;15928,88
Bømlo Høgre;12;1219;Kommune;2007;1679;32,73;9;2011;1223;21507,99;22730,99
Bømlo KrF;12;1219;Kommune;2007;969;18,89;5;2011;1223;12412,89;13635,89
Bømlo Senterparti;12;1219;Kommune;2007;384;7,49;2;2011;1223;4919,04;6142,04
BØMLO VENSTRE;12;1219;Kommune;2007;272;5,3;1;2011;1223;3484,32;4707,32
Demokratane på Stord;12;1221;Kommune;2007;330;4,3;2;2011;1223;4227,3;5450,3
Stord  Arbeidarparti;12;1221;Kommune;2007;1850;24,11;8;2011;1223;23698,5;24921,5
Stord Framstegsparti;12;1221;Kommune;2007;1286;16,76;6;2011;1223;16473,66;17696,66
Stord Høgre;12;1221;Kommune;2007;1435;18,7;6;2011;1223;18382,35;19605,35
Stord KrF;12;1221;Kommune;2007;830;10,82;4;2011;1223;10632,3;11855,3
Stord Raud Valallianse;12;1221;Kommune;2007;106;1,38;0;2011;0;1357,86;1357,86
Stord Senterparti;12;1221;Kommune;2007;626;8,16;3;2011;1223;8019,06;9242,06
Stord Sv;12;1221;Kommune;2007;561;7,31;3;2011;1223;7186,41;8409,41
STORD VENSTRE;12;1221;Kommune;2007;650;8,47;3;2011;1223;8326,5;9549,5
Fitjar  Arbeidarparti;12;1222;Kommune;2007;366;24,06;4;2011;1223;4688,46;5911,46
Fitjar Framstegsparti;12;1222;Kommune;2007;106;6,97;1;2011;1223;1357,86;2580,86
Fitjar Høgre;12;1222;Kommune;2007;320;21,04;4;2011;1223;4099,2;5322,2
Fitjar KrF;12;1222;Kommune;2007;314;20,64;3;2011;1223;4022,34;5245,34
Fitjar Senterparti;12;1222;Kommune;2007;265;17,42;3;2011;1223;3394,65;4617,65
Fitjar Sv;12;1222;Kommune;2007;80;5,26;1;2011;1223;1024,8;2247,8
Høgre i Tysnes;12;1223;Kommune;2007;227;14,46;3;2011;1223;2907,87;4130,87
Tysnes  Arbeidarparti;12;1223;Kommune;2007;180;11,46;2;2011;1223;2305,8;3528,8
Tysnes Framstegsparti;12;1223;Kommune;2007;296;18,85;4;2011;1223;3791,76;5014,76
Tysnes KrF;12;1223;Kommune;2007;221;14,08;3;2011;1223;2831,01;4054,01
Tysnes Senterparti;12;1223;Kommune;2007;297;18,92;4;2011;1223;3804,57;5027,57
Høgre i Kvinnherad;12;1224;Kommune;2007;660;10,43;4;2011;1223;8454,6;9677,6
Kvinnherad  Arbeidarparti;12;1224;Kommune;2007;1334;21,09;7;2011;1223;17088,54;18311,54
Kvinnherad Framstegsparti;12;1224;Kommune;2007;917;14,5;5;2011;1223;11746,77;12969,77
Kvinnherad KrF;12;1224;Kommune;2007;452;7,15;3;2011;1223;5790,12;7013,12
Kvinnherad Raud Valallianse;12;1224;Kommune;2007;102;1,61;0;2011;0;1306,62;1306,62
Kvinnherad Senterparti;12;1224;Kommune;2007;626;9,9;4;2011;1223;8019,06;9242,06
Kvinnherad SV;12;1224;Kommune;2007;232;3,67;1;2011;1223;2971,92;4194,92
KVINNHERAD VENSTRE;12;1224;Kommune;2007;872;13,79;5;2011;1223;11170,32;12393,32
Jondal  Arbeidarparti;12;1227;Kommune;2007;177;29,6;5;2011;1223;2267,37;3490,37
Jondal Høgre;12;1227;Kommune;2007;60;10,03;2;2011;1223;768,6;1991,6
Jondal KrF;12;1227;Kommune;2007;94;15,72;3;2011;1223;1204,14;2427,14
Jondal Senterparti;12;1227;Kommune;2007;267;44,65;7;2011;1223;3420,27;4643,27
Demokratane Odda;12;1228;Kommune;2007;92;2,38;0;2011;0;1178,52;1178,52
Odda Framstegsparti;12;1228;Kommune;2007;275;7,12;2;2011;1223;3522,75;4745,75
Odda Herreds Arb.parti.;12;1228;Kommune;2007;1405;36,37;10;2011;1223;17998,05;19221,05
Odda Høgre;12;1228;Kommune;2007;398;10,3;3;2011;1223;5098,38;6321,38
Odda Raud Valallianse;12;1228;Kommune;2007;522;13,51;4;2011;1223;6686,82;7909,82
Odda Senterparti;12;1228;Kommune;2007;217;5,62;2;2011;1223;2779,77;4002,77
Odda Sv;12;1228;Kommune;2007;81;2,1;0;2011;0;1037,61;1037,61
ODDA VENSTRE;12;1228;Kommune;2007;411;10,64;3;2011;1223;5264,91;6487,91
Ullensvang  Arbeidarparti;12;1231;Kommune;2007;229;12,67;3;2011;1223;2933,49;4156,49
Ullensvang Høgre;12;1231;Kommune;2007;349;19,3;4;2011;1223;4470,69;5693,69
Ullensvang KrF;12;1231;Kommune;2007;82;4,54;1;2011;1223;1050,42;2273,42
Ullensvang Senterparti;12;1231;Kommune;2007;789;43,64;9;2011;1223;10107,09;11330,09
Ullensvang Sv;12;1231;Kommune;2007;155;8,57;2;2011;1223;1985,55;3208,55
ULLENSVANG VENSTRE;12;1231;Kommune;2007;182;10,07;2;2011;1223;2331,42;3554,42
Eidfjord  Arbeidarparti;12;1232;Kommune;2007;154;27,11;5;2011;1223;1972,74;3195,74
Eidfjord Senterparti;12;1232;Kommune;2007;260;45,77;8;2011;1223;3330,6;4553,6
Det norske Arbeiderparti;12;1233;Kommune;2007;92;14,98;2;2011;1223;1178,52;2401,52
Høgre i Ulvik;12;1233;Kommune;2007;36;5,86;1;2011;1223;461,16;1684,16
Ulvik Senterparti;12;1233;Kommune;2007;136;22,15;4;2011;1223;1742,16;2965,16
ULVIK VENSTRE;12;1233;Kommune;2007;205;33,39;6;2011;1223;2626,05;3849,05
Granvin  Arbeidarparti;12;1234;Kommune;2007;236;42,45;6;2011;1223;3023,16;4246,16
Granvin Høgrelag;12;1234;Kommune;2007;79;14,21;2;2011;1223;1011,99;2234,99
Granvin Sv;12;1234;Kommune;2007;23;4,14;0;2011;1223;294,63;1517,63
GRANVIN VENSTRE;12;1234;Kommune;2007;42;7,55;1;2011;1223;538,02;1761,02
Voss  Arbeidarparti;12;1235;Kommune;2007;2024;31,19;13;2011;1223;25927,44;27150,44
Voss Framstegsparti;12;1235;Kommune;2007;798;12,3;5;2011;1223;10222,38;11445,38
Voss Høgre;12;1235;Kommune;2007;504;7,77;3;2011;1223;6456,24;7679,24
Voss KrF;12;1235;Kommune;2007;388;5,98;3;2011;1223;4970,28;6193,28
Voss Raud Valallianse;12;1235;Kommune;2007;265;4,08;2;2011;1223;3394,65;4617,65
Voss Senterparti;12;1235;Kommune;2007;1478;22,78;10;2011;1223;18933,18;20156,18
Voss Sv;12;1235;Kommune;2007;526;8,11;4;2011;1223;6738,06;7961,06
VOSS VENSTRE;12;1235;Kommune;2007;506;7,8;3;2011;1223;6481,86;7704,86
Kvam  Arbeidarparti;12;1238;Kommune;2007;934;20,39;6;2011;1223;11964,54;13187,54
Kvam Framstegsparti;12;1238;Kommune;2007;374;8,16;2;2011;1223;4790,94;6013,94
Kvam Høgre;12;1238;Kommune;2007;580;12,66;4;2011;1223;7429,8;8652,8
Kvam KrF;12;1238;Kommune;2007;503;10,98;3;2011;1223;6443,43;7666,43
Kvam Raud Valallianse;12;1238;Kommune;2007;59;1,29;0;2011;0;755,79;755,79
Kvam Senterparti;12;1238;Kommune;2007;923;20,15;5;2011;1223;11823,63;13046,63
Kvam Sv;12;1238;Kommune;2007;114;2,49;1;2011;1223;1460,34;2683,34
KVAM VENSTRE;12;1238;Kommune;2007;552;12,05;3;2011;1223;7071,12;8294,12
Fusa  Arbeidarparti;12;1241;Kommune;2007;334;16,66;3;2011;1223;4278,54;5501,54
Fusa Framstegsparti;12;1241;Kommune;2007;470;23,44;6;2011;1223;6020,7;7243,7
Fusa Høgre;12;1241;Kommune;2007;185;9,23;2;2011;1223;2369,85;3592,85
Fusa KrF;12;1241;Kommune;2007;225;11,22;3;2011;1223;2882,25;4105,25
Fusa Senterparti;12;1241;Kommune;2007;612;30,52;8;2011;1223;7839,72;9062,72
Fusa Sv;12;1241;Kommune;2007;105;5,24;1;2011;1223;1345,05;2568,05
Samnanger  Arbeidarparti;12;1242;Kommune;2007;337;28,04;6;2011;1223;4316,97;5539,97
Samnanger Framstegsparti;12;1242;Kommune;2007;196;16,31;3;2011;1223;2510,76;3733,76
Samnanger Høgre;12;1242;Kommune;2007;96;7,99;2;2011;1223;1229,76;2452,76
Samnanger KrF;12;1242;Kommune;2007;301;25,04;5;2011;1223;3855,81;5078,81
Samnanger Senterparti;12;1242;Kommune;2007;102;8,49;2;2011;1223;1306,62;2529,62
Os  Arbeidarparti;12;1243;Kommune;2007;1142;14,11;5;2011;1223;14629,02;15852,02
Os Framstegsparti;12;1243;Kommune;2007;3625;44,79;17;2011;1223;46436,25;47659,25
Os Høgre;12;1243;Kommune;2007;934;11,54;4;2011;1223;11964,54;13187,54
Os KrF;12;1243;Kommune;2007;502;6,2;2;2011;1223;6430,62;7653,62
Os Senterparti;12;1243;Kommune;2007;273;3,37;1;2011;1223;3497,13;4720,13
Os Sv;12;1243;Kommune;2007;278;3,44;1;2011;1223;3561,18;4784,18
OS VENSTRE;12;1243;Kommune;2007;320;3,95;1;2011;1223;4099,2;5322,2
Austevoll Framstegsparti;12;1244;Kommune;2007;1028;43,73;9;2011;1223;13168,68;14391,68
Austevoll KrF;12;1244;Kommune;2007;235;10;2;2011;1223;3010,35;4233,35
Austevoll Senterparti;12;1244;Kommune;2007;238;10,12;2;2011;1223;3048,78;4271,78
AUSTEVOLL VENSTRE;12;1244;Kommune;2007;44;1,87;0;2011;0;563,64;563,64
Sund  Arbeidarparti;12;1245;Kommune;2007;579;21,74;5;2011;1223;7416,99;8639,99
Sund Framstegsparti;12;1245;Kommune;2007;484;18,17;5;2011;1223;6200,04;7423,04
Sund Høgre;12;1245;Kommune;2007;1018;38,23;10;2011;1223;13040,58;14263,58
Sund KrF;12;1245;Kommune;2007;131;4,92;1;2011;1223;1678,11;2901,11
Sund Senterparti;12;1245;Kommune;2007;353;13,26;3;2011;1223;4521,93;5744,93
SUND VENSTRE;12;1245;Kommune;2007;73;2,74;1;2011;1223;935,13;2158,13
Fjell  Arbeidarparti;12;1246;Kommune;2007;1696;18,77;9;2011;1223;21725,76;22948,76
Fjell Framstegsparti;12;1246;Kommune;2007;3007;33,29;15;2011;1223;38519,67;39742,67
Fjell Høgre;12;1246;Kommune;2007;1391;15,4;7;2011;1223;17818,71;19041,71
Fjell KrF;12;1246;Kommune;2007;960;10,63;5;2011;1223;12297,6;13520,6
Fjell Senterparti;12;1246;Kommune;2007;223;2,47;1;2011;1223;2856,63;4079,63
Fjell Sv;12;1246;Kommune;2007;230;2,55;1;2011;1223;2946,3;4169,3
FJELL VENSTRE;12;1246;Kommune;2007;217;2,4;1;2011;1223;2779,77;4002,77
Askøy  Arbeiderparti;12;1247;Kommune;2007;2841;26,32;10;2011;1223;36393,21;37616,21
Askøy Fremskrittsparti;12;1247;Kommune;2007;3410;31,59;11;2011;1223;43682,1;44905,1
Askøy Høyre;12;1247;Kommune;2007;2204;20,42;7;2011;1223;28233,24;29456,24
Askøy KrF;12;1247;Kommune;2007;697;6,46;2;2011;1223;8928,57;10151,57
Askøy Sv;12;1247;Kommune;2007;780;7,23;3;2011;1223;9991,8;11214,8
ASKØY VENSTRE;12;1247;Kommune;2007;430;3,98;1;2011;1223;5508,3;6731,3
Demokratene;12;1247;Kommune;2007;219;2,03;1;2011;1223;2805,39;4028,39
Raud Valallianse;12;1247;Kommune;2007;71;0,66;0;2011;0;909,51;909,51
Raud Valallianse;12;1251;Kommune;2007;30;1,42;0;2011;0;384,3;384,3
Sosialistisk Venstreparti;12;1251;Kommune;2007;205;9,68;1;2011;1223;2626,05;3849,05
Vaksdal  Arbeidarparti;12;1251;Kommune;2007;865;40,86;10;2011;1223;11080,65;12303,65
Vaksdal Framstegsparti;12;1251;Kommune;2007;206;9,73;2;2011;1223;2638,86;3861,86
Vaksdal Høgre;12;1251;Kommune;2007;324;15,3;3;2011;1223;4150,44;5373,44
Vaksdal KrF;12;1251;Kommune;2007;295;13,93;3;2011;1223;3778,95;5001,95
Vaksdal Senterparti;12;1251;Kommune;2007;192;9,07;2;2011;1223;2459,52;3682,52
Osterøy  Arbeidarparti;12;1253;Kommune;2007;1074;27,69;8;2011;1223;13757,94;14980,94
Osterøy Framstegsparti;12;1253;Kommune;2007;1282;33,05;9;2011;1223;16422,42;17645,42
Osterøy Høgre;12;1253;Kommune;2007;563;14,51;4;2011;1223;7212,03;8435,03
Osterøy KrF;12;1253;Kommune;2007;273;7,04;2;2011;1223;3497,13;4720,13
Osterøy Senterparti;12;1253;Kommune;2007;304;7,84;2;2011;1223;3894,24;5117,24
Osterøy Sv;12;1253;Kommune;2007;181;4,67;1;2011;1223;2318,61;3541,61
OSTERØY VENSTRE;12;1253;Kommune;2007;202;5,21;1;2011;1223;2587,62;3810,62
Kystpartiet;12;1256;Kommune;2007;17;0,58;0;2011;0;217,77;217,77
Meland  Arbeidarparti;12;1256;Kommune;2007;399;13,57;4;2011;1223;5111,19;6334,19
Meland Framstegsparti;12;1256;Kommune;2007;515;17,51;5;2011;1223;6597,15;7820,15
Meland Høgre;12;1256;Kommune;2007;503;17,1;5;2011;1223;6443,43;7666,43
Meland KrF;12;1256;Kommune;2007;374;12,72;3;2011;1223;4790,94;6013,94
Meland Senterparti;12;1256;Kommune;2007;632;21,49;6;2011;1223;8095,92;9318,92
Pensjonistpartiet;12;1256;Kommune;2007;25;0,85;0;2011;0;320,25;320,25
Øygarden  Arbeidarparti;12;1259;Kommune;2007;690;31,59;7;2011;1223;8838,9;10061,9
Øygarden Framstegsparti;12;1259;Kommune;2007;279;12,77;3;2011;1223;3573,99;4796,99
Øygarden KrF;12;1259;Kommune;2007;131;6;1;2011;1223;1678,11;2901,11
Øygarden Sv;12;1259;Kommune;2007;81;3,71;1;2011;1223;1037,61;2260,61
Radøy  Arbeidarparti;12;1260;Kommune;2007;422;17,37;4;2011;1223;5405,82;6628,82
Radøy Framstegsparti;12;1260;Kommune;2007;435;17,9;4;2011;1223;5572,35;6795,35
Radøy Høgre;12;1260;Kommune;2007;343;14,12;4;2011;1223;4393,83;5616,83
Radøy KrF;12;1260;Kommune;2007;228;9,38;2;2011;1223;2920,68;4143,68
Radøy Senterparti;12;1260;Kommune;2007;732;30,12;8;2011;1223;9376,92;10599,92
RADØY VENSTRE;12;1260;Kommune;2007;198;8,15;2;2011;1223;2536,38;3759,38
Raud Valallianse/ Sos. Venstreparti;12;1260;Kommune;2007;72;2,96;1;2011;1223;922,32;2145,32
Lindås  Arbeidarparti;12;1263;Kommune;2007;1245;18,64;6;2011;1223;15948,45;17171,45
Lindås Framstegsparti;12;1263;Kommune;2007;1868;27,97;9;2011;1223;23929,08;25152,08
Lindås Høgre;12;1263;Kommune;2007;1032;15,45;5;2011;1223;13219,92;14442,92
Lindås KrF;12;1263;Kommune;2007;936;14,02;4;2011;1223;11990,16;13213,16
Lindås Senterparti;12;1263;Kommune;2007;989;14,81;5;2011;1223;12669,09;13892,09
Lindås Sv;12;1263;Kommune;2007;204;3,05;1;2011;1223;2613,24;3836,24
LINDÅS VENSTRE;12;1263;Kommune;2007;261;3,91;1;2011;1223;3343,41;4566,41
