byggnr,dato,aapent_fra,aapent_til,kommentar
2,2016-09-10,00:00,00:00,lørdag
2,2016-09-11,00:00,00:00,søndag
2,2016-09-12,07:40,15:30,
2,2016-09-13,07:40,15:30,
2,2016-09-14,07:40,15:30,
2,2016-09-15,07:40,17:00,
2,2016-09-16,07:40,15:30,
2,2016-09-17,00:00,00:00,lørdag
2,2016-09-18,00:00,00:00,søndag
2,2016-09-19,07:40,15:30,
2,2016-09-20,07:40,15:30,
2,2016-09-21,07:40,15:30,
2,2016-09-22,07:40,17:00,
2,2016-09-23,07:40,15:30,
2,2016-09-24,00:00,00:00,lørdag
2,2016-09-25,00:00,00:00,søndag
2,2016-09-26,07:40,15:30,
2,2016-09-27,07:40,15:30,
2,2016-09-28,07:40,15:30,
2,2016-09-29,07:40,17:00,
2,2016-09-30,07:40,15:30,
2,2016-10-01,00:00,00:00,lørdag
2,2016-10-02,00:00,00:00,søndag
2,2016-10-03,07:40,15:30,
2,2016-10-04,07:40,15:30,
2,2016-10-05,07:40,15:30,
2,2016-10-06,07:40,17:00,
2,2016-10-07,07:40,15:30,
2,2016-10-08,00:00,00:00,lørdag
2,2016-10-09,00:00,00:00,søndag
2,2016-10-10,07:40,15:30,
2,2016-10-11,07:40,15:30,
2,2016-10-12,07:40,15:30,
2,2016-10-13,07:40,17:00,
2,2016-10-14,07:40,15:30,
2,2016-10-15,00:00,00:00,lørdag
2,2016-10-16,00:00,00:00,søndag
2,2016-10-17,07:40,15:30,
2,2016-10-18,07:40,15:30,
2,2016-10-19,07:40,15:30,
2,2016-10-20,07:40,17:00,
2,2016-10-21,07:40,15:30,
2,2016-10-22,00:00,00:00,lørdag
2,2016-10-23,00:00,00:00,søndag
2,2016-10-24,07:40,15:30,
2,2016-10-25,07:40,15:30,
2,2016-10-26,07:40,15:30,
2,2016-10-27,07:40,17:00,
2,2016-10-28,07:40,15:30,
2,2016-10-29,00:00,00:00,lørdag
2,2016-10-30,00:00,00:00,søndag
2,2016-10-31,07:40,15:30,
2,2016-11-01,07:40,15:30,
2,2016-11-02,07:40,15:30,
2,2016-11-03,07:40,17:00,
2,2016-11-04,07:40,15:30,
2,2016-11-05,00:00,00:00,lørdag
2,2016-11-06,00:00,00:00,søndag
2,2016-11-07,07:40,15:30,
2,2016-11-08,07:40,15:30,
2,2016-11-09,07:40,15:30,
2,2016-11-10,07:40,17:00,
2,2016-11-11,07:40,15:30,
2,2016-11-12,00:00,00:00,lørdag
2,2016-11-13,00:00,00:00,søndag
2,2016-11-14,07:40,15:30,
2,2016-11-15,07:40,15:30,
2,2016-11-16,07:40,15:30,
2,2016-11-17,07:40,17:00,
2,2016-11-18,07:40,15:30,
2,2016-11-19,00:00,00:00,lørdag
2,2016-11-20,00:00,00:00,søndag
2,2016-11-21,07:40,15:30,
2,2016-11-22,07:40,15:30,
2,2016-11-23,07:40,15:30,
2,2016-11-24,07:40,17:00,
2,2016-11-25,07:40,15:30,
2,2016-11-26,00:00,00:00,lørdag
2,2016-11-27,00:00,00:00,søndag
2,2016-11-28,07:40,15:30,
2,2016-11-29,07:40,15:30,
2,2016-11-30,07:40,15:30,
2,2016-12-01,07:40,17:00,
2,2016-12-02,07:40,15:30,
2,2016-12-03,00:00,00:00,lørdag
2,2016-12-04,00:00,00:00,søndag
2,2016-12-05,07:40,15:30,
2,2016-12-06,07:40,15:30,
2,2016-12-07,07:40,15:30,
2,2016-12-08,07:40,17:00,
2,2016-12-09,07:40,15:30,
2,2016-12-10,00:00,00:00,lørdag
2,2016-12-11,00:00,00:00,søndag
2,2016-12-12,07:40,15:30,
2,2016-12-13,07:40,15:30,
2,2016-12-14,07:40,15:30,
2,2016-12-15,07:40,17:00,
